STRAIN	BC_ID	MU_ID	ENV	gen_0	gen_10	gen_20	gen_30	gen_40
DivAnc	63866	423	1_SC3	920	5186	2662	5709	4427
DivAnc	675	695	1_SC3	3	30	35	26	22
DivAnc	134569	34	1_SC3	2	12	4	0	0
DivAnc	12219	834	1_SC3	577	3464	1771	3234	2446
DivAnc	236233	423	1_SC3	646	3737	1912	3929	2844
DivAnc	48430	1002	1_SC3	1	0	0	0	0
DivAnc	161453	473	1_SC3	2	2	0	0	0
DivAnc	15847	625	1_SC3	2	19	2	13	9
DivAnc	48439	391	1_SC3	3	5	7	12	12
DivAnc	49431	353	1_SC3	67	328	158	302	116
DivAnc	137997	684	1_SC3	1	23	14	46	44
DivAnc	37373	866	1_SC3	464	2733	1292	2579	1994
DivAnc	24170	962	1_SC3	311	1605	769	1477	1064
DivAnc	43709	979	1_SC3	346	2164	1165	2363	2027
DivAnc	9295	24	1_SC3	2	0	0	0	0
DivAnc	143723	647	1_SC3	1	0	0	0	0
DivAnc	247335	527	1_SC3	1	4	3	0	0
DivAnc	175245	1001	1_SC3	469	2651	1303	2685	2034
DivAnc	108933	248	1_SC3	146	819	505	799	531
DivAnc	161630	898	1_SC3	1	3	0	0	0
DivAnc	800	639	1_SC3	30	177	92	153	47
DivAnc	36170	836	1_SC3	4	14	1	0	0
DivAnc	11969	710	1_SC3	1	0	0	0	0
DivAnc	83455	441	1_SC3	1	0	0	0	0
DivAnc	18099	70	1_SC3	240	1505	802	1479	1173
DivAnc	30183	190	1_SC3	31	195	78	98	54
DivAnc	39695	364	1_SC3	2	21	0	20	22
DivAnc	2847	533	1_SC3	550	3588	1766	3365	2437
DivAnc	69449	456	1_SC3	149	840	396	769	638
DivAnc	3321	245	1_SC3	1	0	0	0	0
DivAnc	72893	775	1_SC3	276	1535	756	1407	1175
DivAnc	37198	964	1_SC3	356	1919	944	2023	1395
DivAnc	268057	539	1_SC3	256	1509	763	1474	1220
DivAnc	38753	817	1_SC3	5	35	42	39	23
DivAnc	138312	894	1_SC3	1	10	6	50	49
DivAnc	37978	84	1_SC3	9	61	22	33	86
DivAnc	45848	930	1_SC3	2	17	21	52	18
DivAnc	41148	856	1_SC3	2	16	0	0	0
DivAnc	8148	129	1_SC3	258	1449	718	1719	1504
DivAnc	30766	802	1_SC3	1	6	7	32	21
DivAnc	87085	892	1_SC3	2	20	13	0	0
DivAnc	137684	426	1_SC3	1	0	0	0	0
DivAnc	59012	954	1_SC3	1	0	0	0	0
DivAnc	40785	453	1_SC3	60	337	190	386	354
DivAnc	58548	362	1_SC3	1210	6772	3228	6448	4785
DivAnc	312352	171	1_SC3	486	3003	1533	2921	2152
DivAnc	77915	894	1_SC3	4	15	11	9	9
DivAnc	180975	926	1_SC3	2	32	4	44	3
DivAnc	28341	226	1_SC3	35	229	124	272	199
DivAnc	50270	819	1_SC3	718	4162	2264	4622	3666
DivAnc	51	993	1_SC3	2	18	22	20	9
DivAnc	436	536	1_SC3	808	4585	2147	4647	3776
DivAnc	53	340	1_SC3	348	2254	1145	2099	1618
DivAnc	30341	248	1_SC3	200	1063	500	985	742
DivAnc	15592	746	1_SC3	2	0	0	0	0
DivAnc	15595	617	1_SC3	3	9	0	3	3
DivAnc	111035	864	1_SC3	311	1859	923	1660	1127
DivAnc	31210	339	1_SC3	276	1459	759	1629	969
DivAnc	91190	40	1_SC3	344	1999	1017	2077	1698
DivAnc	47522	423	1_SC3	770	4624	2180	4296	3312
DivAnc	88546	479	1_SC3	3	7	1	0	0
DivAnc	132784	979	1_SC3	37	91	67	76	83
DivAnc	31561	894	1_SC3	1	3	0	0	0
DivAnc	234356	343	1_SC3	1	2	0	0	0
DivAnc	17853	19	1_SC3	1	4	0	0	0
DivAnc	48391	71	1_SC3	84	493	201	430	410
DivAnc	5600	906	1_SC3	100	618	255	494	389
DivAnc	48938	804	1_SC3	2	27	3	0	0
DivAnc	14517	574	1_SC3	1	0	0	0	0
DivAnc	91225	202	1_SC3	137	808	445	822	658
DivAnc	1902	421	1_SC3	2	49	26	50	33
DivAnc	217198	423	1_SC3	1	3	3	5	0
DivAnc	72657	899	1_SC3	1	19	7	23	12
DivAnc	421	509	1_SC3	3	10	14	15	5
DivAnc	420	845	1_SC3	1	10	0	4	0
DivAnc	1395	52	1_SC3	35	163	62	103	82
DivAnc	1392	109	1_SC3	1	13	3	0	0
DivAnc	151360	767	1_SC3	114	643	366	730	594
DivAnc	32489	705	1_SC3	178	1172	563	1174	831
DivAnc	74734	718	1_SC3	398	2441	1255	2629	2030
DivAnc	120826	147	1_SC3	1	0	0	0	0
DivAnc	23257	627	1_SC3	98	650	321	792	589
DivAnc	52838	898	1_SC3	2	0	0	0	0
DivAnc	22384	764	1_SC3	204	1146	681	1485	1202
DivAnc	60928	313	1_SC3	5	11	3	10	5
DivAnc	6426	802	1_SC3	657	3954	2016	4073	3325
DivAnc	4298	951	1_SC3	1	24	6	11	8
